,Transaction Amount,MCC,Customer Age,Year,Month,Day,Hour,Minute,Transaction Type_Credit,Transaction Type_Debit,Transaction Type_Online Transfer,Fraudulent
36,816.77,5912,40.0,2024,2,25,1,44,0,1,0,0.0
37,728.82,5814,45.0,2024,2,17,17,5,1,0,0,0.0
38,255.47,5912,18.0,2023,7,19,21,52,1,0,0,0.0
39,507.62,5912,38.0,2024,10,2,22,55,0,0,1,0.0
40,61066.0,5912,61.0,2024,1,27,13,59,0,0,1,0.0
41,611.66,5411,47.0,2023,7,15,23,31,0,0,1,0.0
42,718.63,5912,49.0,2023,11,13,9,54,0,1,0,0.0
43,259.93,5812,71.0,2023,5,11,21,53,0,0,1,0.0
44,416.36,5812,71.0,2023,10,7,20,26,1,0,0,0.0
45,724.46,5912,76.0,2023,6,19,8,39,0,0,1,0.0
46,835.08,5912,19.0,2023,5,26,9,0,1,0,0,0.0
47,781.45,5411,66.0,2023,1,8,21,37,0,1,0,0.0
48,53819.0,5812,26.0,2023,7,18,6,25,0,0,1,0.0
49,465.57,5814,67.0,2024,3,29,16,54,0,1,0,0.0
50,778.01,5812,79.0,2023,3,6,6,4,0,1,0,0.0
51,928.96,5999,61.0,2023,5,20,18,39,1,0,0,0.0
52,76.92,5812,24.0,2024,7,2,9,34,0,0,1,0.0
53,337.06,5912,72.0,2024,3,3,8,34,0,1,0,0.0
54,448.73,5411,23.0,2023,7,12,22,9,0,1,0,0.0
55,307.32,5812,25.0,2023,2,11,8,27,1,0,0,0.0
56,86393.0,5812,37.0,2023,7,26,4,43,0,0,1,0.0
57,86.1,5812,25.0,2023,6,18,12,52,0,0,1,0.0
58,306.07,5999,21.0,2023,8,22,20,36,0,1,0,0.0
59,265.38,5411,28.0,2023,8,26,12,7,0,1,0,0.0
60,36942.0,5912,46.0,2023,12,19,15,45,1,0,0,0.0
61,288.82,5814,62.0,2023,7,13,18,56,0,1,0,0.0
62,923.99,5999,60.0,2023,6,29,2,39,1,0,0,0.0
63,647.99,5814,70.0,2024,2,5,11,4,0,1,0,0.0
64,27571.0,5812,79.0,2024,7,4,20,50,0,0,1,0.0
65,416.07,5912,80.0,2023,8,16,3,7,0,1,0,0.0
66,345.78,5999,66.0,2023,11,26,3,25,1,0,0,0.0
67,980.79,5812,54.0,2024,3,3,3,12,0,1,0,0.0
68,318.86,5912,63.0,2023,11,30,6,55,1,0,0,0.0
69,495.83,5411,26.0,2024,1,16,16,16,0,1,0,0.0
70,526.43,5912,18.0,2023,10,9,6,10,1,0,0,0.0
71,997.43,5411,45.0,2024,4,25,3,47,0,0,1,0.0
72,8323.0,5814,75.0,2024,2,2,13,56,0,1,0,0.0
73,460.11,5411,75.0,2024,11,4,6,52,1,0,0,0.0
74,457.38,5814,30.0,2023,4,8,17,4,1,0,0,0.0
75,381.98,5814,54.0,2023,5,28,22,5,0,0,1,0.0
76,977.97,5912,35.0,2024,1,14,5,36,0,0,1,0.0
77,219.79,5812,57.0,2023,7,16,1,32,0,0,1,0.0
78,670.82,5999,44.0,2024,11,5,13,19,1,0,0,0.0
79,544.92,5814,21.0,2024,11,2,3,31,1,0,0,0.0
80,84384.0,5912,23.0,2023,6,8,11,35,0,0,1,0.0
81,51.53,5814,33.0,2024,12,4,3,48,0,0,1,0.0
82,829.99,5999,31.0,2023,5,31,12,43,0,1,0,0.0
83,448.83,5814,50.0,2023,7,14,22,29,1,0,0,0.0
84,945.47,5411,64.0,2023,10,9,4,44,1,0,0,0.0
85,61.76,5912,72.0,2023,6,14,14,57,1,0,0,0.0
86,490.78,5912,22.0,2024,7,1,23,46,1,0,0,0.0
87,454.26,5999,45.0,2023,2,10,21,42,0,0,1,0.0
88,45265.0,5411,40.0,2023,7,28,13,29,0,1,0,0.0
89,29.92,5814,62.0,2023,10,12,16,46,1,0,0,0.0
90,182.22,5812,54.0,2024,1,30,1,4,0,1,0,0.0
91,158.25,5814,64.0,2023,8,12,10,52,0,0,1,0.0
92,443.67,5912,49.0,2024,3,14,7,42,1,0,0,0.0
93,527.41,5814,20.0,2024,3,24,9,1,1,0,0,0.0
94,533.05,5812,50.0,2024,2,15,5,4,0,1,0,0.0
95,172.7,5999,47.0,2024,2,4,0,25,0,1,0,0.0
96,47753.0,5812,22.0,2023,12,16,5,50,0,0,1,0.0
97,906.02,5814,40.0,2024,1,17,4,11,0,1,0,0.0
98,256.71,5812,56.0,2023,4,9,6,12,0,0,1,0.0
99,631.75,5814,55.0,2023,4,7,0,27,1,0,0,0.0
100,20779.0,5912,20.0,2024,4,25,0,7,1,0,0,0.0
101,645.02,5411,57.0,2024,12,4,8,31,1,0,0,0.0
102,501.87,5411,46.0,2024,3,26,20,52,1,0,0,0.0
103,66.85,5411,53.0,2024,10,2,10,30,1,0,0,0.0
104,44715.0,5411,37.0,2024,4,4,15,3,0,0,1,0.0
105,670.45,5999,23.0,2024,2,17,6,41,0,0,1,0.0
106,363.24,5812,78.0,2024,10,2,5,36,1,0,0,0.0
107,227.32,5812,27.0,2023,7,17,2,31,1,0,0,0.0
108,662.27,5999,26.0,2024,12,5,22,15,0,1,0,0.0
109,831.51,5999,69.0,2023,5,9,11,51,0,0,1,0.0
110,874.24,5999,77.0,2023,8,16,22,25,0,0,1,0.0
111,791.59,5812,20.0,2023,9,9,22,48,1,0,0,0.0
112,43428.0,5812,53.0,2023,9,12,14,22,0,1,0,0.0
113,63.74,5912,56.0,2024,7,4,14,54,0,0,1,0.0
114,718.83,5814,45.0,2023,2,9,22,17,0,0,1,0.0
115,571.09,5812,60.0,2023,9,6,14,58,0,0,1,0.0
116,953.45,5999,50.0,2024,10,2,4,26,1,0,0,0.0
117,546.47,5812,71.0,2023,9,28,7,12,0,0,1,0.0
118,811.69,5411,63.0,2023,5,22,20,22,0,1,0,0.0
119,989.13,5999,48.0,2024,5,14,9,25,0,1,0,0.0
120,87550.0,5912,65.0,2023,5,8,12,3,1,0,0,0.0
121,25595.7698279828,5411,33.0,2024,4,3,22,55,1,0,0,0.0
122,605.49,5912,78.0,2024,5,1,22,32,1,0,0,0.0
123,913.63,5411,34.0,2024,4,30,7,3,0,0,1,0.0
124,996.37,5814,62.0,2024,4,15,10,16,0,1,0,0.0
125,668.17,5411,53.0,2023,11,16,13,12,1,0,0,0.0
126,793.9,5999,32.0,2023,9,16,2,50,0,1,0,0.0
127,790.58,5411,41.0,2024,7,3,7,57,1,0,0,0.0
128,42315.0,5912,70.0,2023,12,8,6,58,0,1,0,0.0
129,450.52,5999,40.0,2023,6,15,9,7,0,0,1,0.0
130,768.01,5812,45.0,2023,12,28,0,36,0,1,0,0.0
131,614.81,5411,50.0,2023,5,10,5,45,0,0,1,0.0
132,172.03,5999,64.0,2023,12,23,14,9,0,0,1,0.0
133,82.14,5999,34.0,2024,2,17,21,29,0,0,1,0.0
134,734.47,5814,80.0,2023,1,8,11,11,0,1,0,0.0
135,319.8,5912,25.0,2023,2,12,12,30,1,0,0,0.0
136,85896.0,5814,78.0,2024,7,3,18,29,0,0,1,0.0
137,49.61,5814,49.0,2024,1,2,11,41,1,0,0,0.0
138,74.46,5999,46.0,2023,8,12,6,34,0,0,1,0.0
139,755.21,5812,56.0,2024,3,17,11,23,0,0,1,0.0
140,98718.0,5814,69.0,2023,7,22,23,19,0,0,1,0.0
141,606.65,5999,26.0,2023,11,6,8,58,0,0,1,0.0
142,709.03,5814,48.0,2023,8,30,3,45,1,0,0,0.0
143,171.34,5999,67.0,2024,4,28,7,0,0,1,0,0.0
144,29035.0,5812,44.0,2024,8,4,22,51,0,0,1,0.0
145,895.86,5912,70.0,2024,6,2,20,16,0,1,0,0.0
146,214.77,5999,35.0,2023,8,31,4,21,0,1,0,0.0
147,330.96,5912,24.0,2023,9,15,11,10,0,1,0,0.0
148,646.25,5411,59.0,2024,4,29,14,22,0,0,1,0.0
149,187.13,5814,74.0,2023,5,20,0,55,0,1,0,0.0
150,889.37,5812,72.0,2024,8,4,12,21,1,0,0,0.0
151,331.35,5912,59.0,2024,3,18,14,47,0,0,1,0.0
152,93852.0,5999,38.0,2023,6,11,18,31,1,0,0,0.0
153,384.19,5912,66.0,2023,7,21,5,15,1,0,0,0.0
154,262.29,5814,62.0,2023,11,16,0,10,0,1,0,0.0
155,757.59,5812,66.0,2023,6,14,17,31,0,0,1,0.0
156,525.98,5999,63.0,2023,8,8,7,5,0,1,0,0.0
157,62.7,5999,75.0,2023,12,27,2,25,0,0,1,0.0
158,457.34,5411,53.0,2023,5,30,1,36,0,0,1,0.0
159,396.55,5411,65.0,2023,9,6,14,0,0,0,1,0.0
160,97513.0,5411,52.0,2023,7,11,4,19,0,1,0,0.0
161,375.09,5912,46.0,2024,1,19,5,29,1,0,0,0.0
162,653.88,5814,25.0,2023,2,6,11,26,0,0,1,0.0
163,615.31,5411,33.0,2023,11,22,18,52,0,1,0,0.0
164,446.99,5411,33.0,2024,4,20,2,39,1,0,0,0.0
165,577.9,5814,33.0,2024,4,29,11,35,0,1,0,0.0
166,377.08,5999,48.0,2023,8,24,16,59,0,1,0,0.0
167,805.97,5411,53.0,2024,9,2,11,28,1,0,0,0.0
168,97728.0,5999,20.0,2023,7,9,12,20,0,1,0,0.0
169,479.91,5814,37.0,2023,12,14,15,3,0,1,0,0.0
170,747.13,5912,76.0,2024,7,1,3,10,0,0,1,0.0
171,414.52,5999,73.0,2024,4,25,3,20,0,0,1,0.0
172,261.51,5999,55.0,2023,11,27,10,26,1,0,0,0.0
173,170.1,5999,49.0,2023,7,14,13,42,0,0,1,0.0
174,524.42,5411,78.0,2024,4,25,0,49,0,1,0,0.0
175,373.83,5999,58.0,2023,8,13,2,34,0,0,1,0.0
176,36018.0,5814,19.0,2023,9,14,2,29,0,1,0,0.0
177,377.79,5912,21.0,2023,7,6,19,46,0,0,1,0.0
178,500.36,5912,59.0,2023,12,31,3,9,0,0,1,0.0
179,899.41,5999,60.0,2023,8,18,7,31,0,1,0,0.0
180,64054.0,5999,27.0,2023,9,30,12,22,0,1,0,0.0
181,968.95,5814,19.0,2024,5,15,16,44,1,0,0,0.0
182,86.61,5999,36.0,2023,6,28,16,6,0,0,1,0.0
183,863.85,5411,36.0,2023,10,26,23,44,1,0,0,0.0
184,41065.0,5912,68.0,2023,7,6,23,2,1,0,0,0.0
185,721.18,5912,56.0,2023,9,25,21,1,1,0,0,0.0
186,431.19,5999,26.0,2023,6,24,1,55,1,0,0,0.0
187,114.77,5999,30.0,2023,7,13,10,18,0,0,1,0.0
188,953.05,5912,78.0,2023,8,26,5,57,1,0,0,0.0
189,167.17,5999,20.0,2024,2,26,2,32,1,0,0,0.0
190,105.44,5912,76.0,2023,2,6,21,58,0,1,0,0.0
191,45.64,5411,19.0,2023,8,9,10,43,0,0,1,0.0
192,71934.0,5912,32.0,2023,5,22,2,11,0,0,1,0.0
193,640.84,5912,43.0,2023,6,22,11,7,0,0,1,0.0
194,450.13,5912,42.0,2023,6,14,3,3,0,0,1,0.0
195,118.74,5814,25.0,2023,7,26,20,7,1,0,0,0.0
196,409.73,5912,44.0,2023,9,29,19,36,1,0,0,0.0
197,169.04,5912,54.0,2024,6,3,6,26,0,0,1,0.0
198,861.19,5999,58.0,2024,3,30,15,16,0,1,0,0.0
199,952.44,5999,75.0,2024,10,1,7,28,0,1,0,0.0
200,15293.0,5411,20.0,2023,6,17,22,58,0,0,1,0.0
201,125.11,5812,46.0,2024,3,26,14,54,0,1,0,0.0
202,995.7,5812,74.0,2023,6,20,9,11,0,1,0,0.0
203,654.93,5814,23.0,2023,8,14,23,40,0,0,1,0.0
204,52.74,5814,64.0,2024,1,29,12,15,1,0,0,0.0
205,703.99,5411,31.0,2023,7,15,21,41,0,1,0,0.0
206,519.92,5912,18.0,2023,7,12,19,25,0,0,1,0.0
207,988.17,5912,62.0,2024,3,3,22,25,1,0,0,0.0
208,49625.0,5411,24.0,2024,8,4,0,26,1,0,0,0.0
209,383.34,5812,59.0,2024,12,1,5,50,0,1,0,0.0
210,610.71,5812,46.0,2024,3,28,14,10,0,0,1,0.0
211,919.97,5999,61.0,2024,4,24,18,16,0,1,0,0.0
212,779.19,5411,72.0,2023,11,23,18,2,0,1,0,0.0
213,933.99,5812,42.0,2024,3,18,8,37,1,0,0,0.0
214,762.96,5411,19.0,2024,1,14,22,43,0,1,0,0.0
215,586.85,5411,37.0,2024,2,29,17,45,0,0,1,0.0
216,57529.0,5912,25.0,2024,10,5,10,5,0,0,1,0.0
217,309.98,5812,25.0,2023,11,7,21,15,0,0,1,0.0
218,164.67,5814,51.0,2023,6,19,15,0,0,1,0,0.0
219,56.38,5999,28.0,2024,4,24,20,0,0,1,0,0.0
220,75889.0,5411,32.0,2023,12,26,4,36,0,1,0,0.0
221,69.86,5912,73.0,2024,2,3,17,17,1,0,0,0.0
222,739.84,5812,47.0,2023,5,28,17,33,0,0,1,0.0
223,492.54,5411,80.0,2024,12,2,11,9,0,0,1,0.0
224,69553.0,5999,21.0,2023,8,29,4,47,0,0,1,0.0
225,318.74,5814,32.0,2023,11,20,3,6,0,1,0,0.0
226,156.26,5812,46.0,2023,1,10,0,43,1,0,0,0.0
227,536.39,5812,46.0,2024,12,4,13,4,1,0,0,0.0
228,91.33,5814,70.0,2024,4,18,15,1,0,1,0,0.0
229,92.12,5812,79.0,2023,11,11,23,42,1,0,0,0.0
230,556.4,5999,33.0,2023,6,12,11,22,1,0,0,0.0
231,372.87,5411,55.0,2024,2,13,9,28,0,1,0,0.0
232,90742.0,5912,69.0,2023,10,19,6,58,0,1,0,0.0
233,496.63,5912,61.0,2023,6,24,14,22,0,1,0,0.0
234,908.4,5814,35.0,2023,9,13,7,32,0,1,0,0.0
235,383.63,5912,30.0,2024,4,27,22,54,0,0,1,0.0
236,388.99,5812,19.0,2023,7,16,12,36,0,0,1,0.0
237,895.87,5814,21.0,2023,11,29,9,51,0,0,1,0.0
239,764.29,5812,54.0,2024,3,4,15,37,1,0,0,0.0
240,65652.0,5411,23.0,2023,8,13,9,21,0,1,0,0.0
241,20.91,5912,18.0,2023,10,16,15,26,0,0,1,0.0
242,341.42,5812,76.0,2023,6,14,21,47,0,1,0,0.0
243,587.02,5812,67.0,2024,4,24,0,32,0,0,1,0.0
244,175.03,5999,62.0,2024,4,21,3,31,0,1,0,0.0
245,850.91,5999,20.0,2023,11,30,2,19,0,0,1,0.0
246,640.01,5411,77.0,2023,8,27,19,21,0,1,0,0.0
247,546.48,5411,71.0,2023,12,31,15,6,0,0,1,0.0
248,23074.0,5411,22.0,2024,1,24,1,25,0,1,0,0.0
249,704.8,5912,78.0,2024,3,29,18,47,0,0,1,0.0
250,200.48,5411,31.0,2023,10,20,11,24,0,0,1,0.0
251,187.4,5411,34.0,2023,6,26,23,46,1,0,0,0.0
252,837.24,5999,21.0,2023,6,22,13,19,0,0,1,0.0
253,86.62,5814,69.0,2023,11,13,14,53,0,0,1,0.0
254,299.55,5912,75.0,2023,7,31,11,49,0,0,1,0.0
255,121.16,5912,29.0,2023,9,30,12,57,0,1,0,0.0
256,98070.0,5411,61.0,2023,9,20,2,41,0,1,0,0.0
257,113.41,5812,27.0,2024,7,2,14,48,0,1,0,0.0
258,690.82,5411,65.0,2023,12,15,13,56,1,0,0,0.0
259,338.53,5814,37.0,2023,7,25,5,52,1,0,0,0.0
260,70263.0,5912,56.0,2024,12,4,13,30,0,1,0,0.0
261,913.52,5912,65.0,2024,3,13,17,51,0,0,1,0.0
262,136.51,5999,74.0,2024,5,3,12,27,0,1,0,0.0
263,837.14,5812,20.0,2024,9,4,1,23,0,1,0,0.0
264,36270.0,5912,50.0,2023,12,8,23,2,0,0,1,0.0
265,50.6,5999,67.0,2023,2,9,13,14,0,1,0,0.0
266,678.02,5814,59.0,2023,6,12,12,49,0,0,1,0.0
267,474.62,5812,59.0,2023,11,23,16,12,0,0,1,0.0
268,861.63,5814,59.0,2024,2,3,19,39,0,1,0,0.0
269,899.79,5999,43.0,2024,2,19,8,26,0,0,1,0.0
270,655.75,5814,34.0,2023,11,13,18,11,1,0,0,0.0
271,583.44,5999,70.0,2023,5,24,17,57,1,0,0,0.0
272,97767.0,5912,76.0,2023,6,6,12,43,0,0,1,0.0
273,840.8,5999,29.0,2023,9,28,21,36,0,1,0,0.0
274,741.18,5999,66.0,2024,6,3,12,51,0,0,1,0.0
275,261.3,5814,47.0,2023,6,15,11,21,1,0,0,0.0
276,144.08,5812,67.0,2024,12,1,2,32,1,0,0,0.0
277,314.1,5411,18.0,2024,11,1,7,41,1,0,0,0.0
278,633.85,5912,45.0,2023,7,6,20,31,1,0,0,0.0
279,534.25,5814,78.0,2023,11,30,20,23,1,0,0,0.0
280,38865.0,5411,42.0,2023,12,22,5,2,0,1,0,0.0
281,298.9,5814,47.0,2024,4,23,6,33,1,0,0,0.0
282,343.39,5912,40.0,2023,7,21,7,26,0,1,0,0.0
283,229.19,5812,31.0,2023,12,26,19,0,0,0,1,0.0
284,124.04,5411,42.0,2023,10,14,8,19,0,0,1,0.0
285,594.33,5411,60.0,2024,2,27,15,8,0,0,1,0.0
286,474.92,5812,31.0,2023,10,7,18,57,1,0,0,0.0
287,662.82,5814,57.0,2023,5,27,23,57,1,0,0,0.0
288,27067.0,5812,40.0,2023,11,16,5,58,1,0,0,0.0
289,548.59,5812,62.0,2024,4,26,10,47,1,0,0,0.0
290,150.0,5411,67.0,2023,10,14,13,11,0,0,1,0.0
291,904.87,5812,47.0,2023,1,9,13,44,1,0,0,0.0
292,426.57,5411,24.0,2024,1,14,5,15,0,1,0,0.0
293,835.87,5912,69.0,2023,9,19,12,10,0,0,1,0.0
294,802.46,5912,29.0,2023,10,22,10,46,1,0,0,0.0
295,46.93,5814,59.0,2023,10,22,18,30,0,1,0,0.0
296,30838.0,5814,51.0,2024,1,18,17,47,1,0,0,0.0
297,482.45,5912,27.0,2023,7,11,7,2,0,1,0,0.0
298,321.31,5814,80.0,2023,5,23,0,33,0,1,0,0.0
299,801.46,5912,23.0,2023,9,30,5,48,1,0,0,0.0
300,26895.0,5411,24.0,2023,7,28,1,50,1,0,0,0.0
301,826.08,5999,79.0,2024,1,24,23,11,0,0,1,0.0
302,654.94,5912,78.0,2023,7,24,7,52,1,0,0,0.0
303,830.05,5814,53.0,2023,6,23,18,41,0,0,1,0.0
304,47288.0,5912,26.0,2024,4,13,3,16,0,1,0,0.0
305,108.66,5912,20.0,2023,11,21,7,1,1,0,0,0.0
306,924.45,5812,62.0,2023,8,28,11,30,0,0,1,0.0
307,674.57,5999,36.0,2024,3,26,7,9,0,1,0,0.0
308,26.25,5812,21.0,2024,1,23,20,54,0,1,0,0.0
309,983.55,5814,27.0,2024,4,3,22,50,0,0,1,0.0
310,753.84,5411,40.0,2023,10,27,11,53,0,1,0,0.0
311,449.37,5411,29.0,2023,9,12,15,15,0,0,1,0.0
312,83033.0,5814,51.0,2024,1,19,7,26,0,1,0,0.0
313,786.47,5812,44.0,2023,6,25,2,35,0,1,0,0.0
314,996.63,5411,25.0,2023,12,7,12,45,1,0,0,0.0
315,487.32,5814,75.0,2024,6,2,4,12,1,0,0,0.0
316,948.26,5812,80.0,2023,1,9,14,19,0,0,1,0.0
317,38.85,5411,21.0,2024,5,17,6,20,1,0,0,0.0
318,630.59,5912,38.0,2023,9,13,18,2,1,0,0,0.0
319,157.17,5812,26.0,2023,1,10,7,57,0,0,1,0.0
320,25470.0,5814,79.0,2023,8,7,20,6,0,0,1,0.0
321,124.11,5411,54.0,2024,4,29,4,44,0,0,1,0.0
322,305.39,5814,31.0,2023,7,22,19,39,0,0,1,0.0
323,161.79,5812,57.0,2023,9,16,6,54,0,1,0,0.0
324,671.31,5999,72.0,2023,6,10,3,17,0,0,1,0.0
325,951.59,5814,26.0,2023,6,19,20,34,0,1,0,0.0
326,693.76,5812,54.0,2024,2,1,2,55,1,0,0,0.0
327,359.38,5814,49.0,2023,8,23,11,23,0,1,0,0.0
328,70569.0,5812,75.0,2023,6,7,11,55,1,0,0,0.0
329,134.75,5999,50.0,2023,12,8,8,43,1,0,0,0.0
330,104.12,5999,58.0,2024,4,17,14,31,0,0,1,0.0
331,792.86,5999,18.0,2024,2,22,7,6,1,0,0,0.0
332,602.42,5411,60.0,2023,9,9,15,47,1,0,0,0.0
333,23.42,5411,26.0,2024,1,20,20,52,0,1,0,0.0
334,947.31,5812,46.0,2023,8,7,3,19,1,0,0,0.0
335,168.55,5814,77.0,2024,4,2,16,22,0,0,1,0.0
336,55939.0,5999,24.0,2023,10,28,15,19,1,0,0,0.0
337,877.87,5999,50.0,2024,2,27,22,53,0,1,0,0.0
338,230.26,5912,68.0,2023,11,10,13,53,1,0,0,0.0
339,258.55,5411,63.0,2023,6,25,4,25,0,0,1,0.0
340,98083.0,5912,65.0,2023,11,9,9,22,0,0,1,0.0
341,801.05,5999,62.0,2024,1,3,15,49,0,1,0,0.0
342,439.53,5812,72.0,2024,1,14,1,40,0,1,0,0.0
343,615.57,5411,41.0,2023,8,15,22,28,0,0,1,0.0
344,36452.0,5812,51.0,2023,5,27,11,49,0,0,1,0.0
345,919.26,5999,36.0,2024,6,5,21,40,1,0,0,0.0
346,516.99,5411,62.0,2024,11,3,1,32,0,1,0,0.0
347,219.35,5999,35.0,2023,6,22,9,50,0,0,1,0.0
348,499.5,5812,33.0,2024,4,24,5,48,1,0,0,0.0
349,203.56,5812,71.0,2023,8,16,20,48,0,1,0,0.0
350,939.71,5411,50.0,2023,3,9,4,52,1,0,0,0.0
351,457.74,5411,62.0,2023,6,13,16,22,1,0,0,0.0
352,66496.0,5912,35.0,2024,3,26,23,54,0,1,0,0.0
353,979.29,5812,70.0,2023,1,9,18,3,0,0,1,0.0
354,785.55,5814,34.0,2024,2,27,18,47,1,0,0,0.0
355,414.58,5812,72.0,2023,8,16,22,37,0,1,0,0.0
356,662.36,5411,31.0,2023,11,10,22,55,1,0,0,0.0
357,64.73,5912,53.0,2023,6,30,18,29,0,1,0,0.0
358,230.13,5814,46.0,2023,12,9,18,7,0,1,0,0.0
359,631.42,5999,45.0,2023,6,18,16,5,1,0,0,0.0
360,99979.0,5912,37.0,2023,12,12,23,25,1,0,0,0.0
361,798.17,5999,32.0,2023,6,21,2,40,0,0,1,0.0
362,828.6,5812,34.0,2023,5,22,6,36,1,0,0,0.0
363,618.11,5814,62.0,2024,3,2,2,36,0,1,0,0.0
364,125.91,5912,64.0,2024,3,15,11,59,0,1,0,0.0
365,817.43,5411,25.0,2023,8,15,16,43,1,0,0,0.0
366,737.88,5411,30.0,2024,8,2,19,29,0,0,1,0.0
367,473.35,5814,77.0,2024,1,25,12,59,0,1,0,0.0
368,65061.0,5999,39.0,2023,8,23,10,29,0,1,0,0.0
369,559.47,5999,62.0,2023,10,19,1,15,0,1,0,0.0
370,544.08,5814,64.0,2023,11,29,4,16,1,0,0,0.0
371,410.39,5814,25.0,2024,3,22,19,50,0,0,1,0.0
372,822.2,5411,70.0,2024,3,20,13,45,0,0,1,0.0
373,834.62,5411,78.0,2023,7,24,17,34,0,0,1,0.0
374,725.45,5999,42.0,2023,7,9,11,30,0,1,0,0.0
375,845.01,5912,66.0,2023,7,22,9,23,0,0,1,0.0
376,54022.0,5411,64.0,2024,3,13,11,42,1,0,0,0.0
377,356.3,5812,34.0,2023,9,21,10,44,0,0,1,0.0
378,256.99,5814,23.0,2023,10,14,4,12,0,0,1,0.0
379,723.86,5912,29.0,2023,11,10,4,56,0,0,1,0.0
380,79668.0,5912,44.0,2023,7,22,17,15,0,1,0,0.0
381,786.58,5812,26.0,2023,7,27,22,57,0,1,0,0.0
382,548.6,5814,23.0,2023,9,20,5,3,0,0,1,0.0
383,762.27,5912,53.0,2023,6,22,22,11,1,0,0,0.0
384,90713.0,5812,38.0,2023,4,11,15,45,0,0,1,0.0
385,45.83,5812,30.0,2023,8,8,19,40,0,1,0,0.0
386,549.25,5999,64.0,2023,11,26,2,2,0,0,1,0.0
387,201.5,5999,35.0,2023,2,11,2,32,1,0,0,0.0
388,867.54,5912,32.0,2023,9,15,5,58,0,0,1,0.0
389,897.28,5812,23.0,2023,9,17,1,48,0,0,1,0.0
390,449.72,5812,31.0,2023,7,8,6,29,0,0,1,0.0
391,862.73,5814,62.0,2023,9,7,11,17,1,0,0,0.0
392,18178.0,5999,52.0,2023,9,11,18,46,0,1,0,0.0
393,745.86,5814,27.0,2023,6,11,10,1,0,1,0,0.0
394,27.17,5999,57.0,2023,6,30,16,10,0,0,1,0.0
395,474.37,5812,30.0,2023,5,9,16,24,0,1,0,0.0
396,925.51,5912,32.0,2024,4,28,11,26,0,1,0,0.0
397,983.85,5411,53.0,2024,2,2,5,26,0,0,1,0.0
398,190.66,5912,43.0,2023,12,17,9,14,1,0,0,0.0
399,423.04,5999,76.0,2023,9,24,13,45,0,0,1,0.0
400,75355.0,5912,23.0,2023,9,6,4,10,0,1,0,0.0
401,393.67,5814,46.0,2023,10,23,21,22,0,1,0,0.0
402,882.67,5411,34.0,2023,9,23,10,48,0,0,1,0.0
403,44.86,5812,76.0,2024,4,5,9,51,0,0,1,0.0
404,730.43,5912,36.0,2023,6,12,15,28,0,1,0,0.0
405,4.53,5814,18.0,2024,3,30,20,6,1,0,0,0.0
